p	L
0	0
0.0602913953037933	0.00228358382292547
0.0884978331532329	0.00917796893433534
0.164979930343106	0.0207490747719031
0.213822126560844	0.0370634500542348
0.253126147135627	0.0581882777888889
0.30533713940531	0.0841913803162714
0.344766399324872	0.115141224389646
0.393287214320153	0.151106926291503
0.460872839370277	0.192158256986525
0.491941904472187	0.238365647311398
0.564828030022327	0.289800193201717
0.585536124373321	0.34653366095622
0.649810905752238	0.408638492538623
0.70931240002159	0.476187810917276
0.736891898510512	0.549255425442925
0.802889370021876	0.627915837264809
0.839148767283186	0.712244244785361
0.885222732627299	0.802316549153763
0.959811476159375	0.898209359798617
1	1
